,Title,Ingredients,Instructions,Image_Name,Price
0,"Chicken and Parsnip ""Fries"" with Spicy Vinegar","1 1/2 pound parsnips, 3 tablespoons olive oil, divided, 4 chicken breast halves with skin and bone (3 1/2 pounds), 1/2 cup distilled white vinegar, 1/4 teaspoon dried hot red-pepper flakes","Preheat oven to 450°F with rack in middle.
Peel parsnips and quarter lengthwise. (If large, cut lengthwise into eighths and cut out cores.) Toss with 1 tablespoon oil in a large shallow baking pan and sprinkle with 1/2 teaspoon salt and 1/4 teaspoon pepper. Roast, stirring occasionally, while preparing chicken (about 5 minutes).
Pat chicken dry, then sprinkle with 1 1/2 teaspoons salt and 1/2 teaspoon pepper. Heat 1 tablespoon oil in a 12-inch heavy skillet over high heat until it shimmers, then brown skin side of chicken, about 3 minutes.
Transfer chicken, skin side up, to pan with parsnips, reserving skillet, and roast until chicken is cooked through and parsnips are tender and caramelized, about 20 minutes.
While chicken roasts, reheat fat in skillet with remaining tablespoon oil, then add vinegar and red-pepper flakes and boil, stirring, 30 seconds. Pour into a cup and keep warm, covered.
Serve chicken and fries drizzled with spicy vinegar.",chicken-and-parsnip-fries-with-spicy-vinegar-241485,4.23
1,Sauteed Broccolini with Garlic,"1 1/2 lb Broccolini (sometimes called baby broccoli; 3 bunches), ends trimmed, 1/4 cup olive oil, 2 garlic cloves, finely chopped, 1/2 teaspoon salt, 1/4 teaspoon black pepper","Cook Broccolini in a 6- to 8-quart pot of boiling salted water until stems are crisp-tender, about 5 minutes, then drain in a colander.
Heat 2 tablespoons oil in a 12-inch heavy skillet over moderately high heat until hot but not smoking, then sauté half of garlic, stirring, until pale golden, about 30 seconds. Add half of Broccolini, 1/4 teaspoon salt, and 1/8 teaspoon pepper and cook, stirring, until heated through, about 2 minutes. Transfer to a serving dish and repeat with remaining ingredients.",sauteed-broccolini-with-garlic-230982,16.06
2,Pear Küchen,"1/3 cup warm milk (105-115°F) 1/3 cup plus 1 teaspoon sugar, 1 1/2 teaspoons active dry yeast (from a 1/4-oz package), 1 1/2 cups all-purpose flour, plus additional for dusting, 1 whole large egg, 1 large egg yolk, 1/2 teaspoon vanilla, 1/2 teaspoon salt, 7 tablespoons unsalted butter, cut into pieces and softened, 3 firm-ripe Bosc pears (about 1 1/2 lb total), 2 tablespoons unsalted butter, melted, 1/4 cup packed dark brown sugar, 2 tablespoons plain fine dry bread crumbs, 3 tablespoons hazelnuts, toasted and chopped, 1/2 teaspoon cinnamon, A stand mixer fitted with paddle attachment; a 9- to 9 1/2-inch (24-cm) springform pan","Stir together milk and 1 teaspoon granulated sugar in bowl of mixer. Sprinkle yeast over mixture and let stand until foamy, about 5 minutes. (If yeast doesn't foam, discard and start over with new yeast.)
Add 1/4 cup flour, beating at medium speed until combined. Add whole egg, yolk, vanilla, salt, and remaining 1/3 cup sugar and beat until combined. Reduce speed to low and gradually mix in 1 1/4 cups remaining flour. Increase speed to medium and add butter, then continue beating, stopping and scraping down side of bowl once or twice, until dough is shiny and forms strands from paddle to bowl, about 3 minutes. (Dough will be very soft and sticky.)
Transfer dough to a lightly oiled bowl and cover with plastic wrap. Let rise in a warm, draft-free place until doubled in bulk, about 1 1/2 hours.
Put oven rack in middle position and preheat oven to 400°F.
Peel pears, cut lengthwise into eighths, and core. Toss pears with melted butter and 2 tablespoons brown sugar in a 13- by 9-inch glass or ceramic baking dish and arrange in 1 layer.
Roast pears, gently turning and stirring occasionally, until just tender and lightly caramelized, about 45 minutes. Transfer pears to a plate with a slotted spatula. Stir bread crumbs into baking dish, scraping up all brown bits and butter, then transfer to a bowl. Stir hazelnuts, cinnamon, and remaining 2 tablespoons brown sugar into bread crumbs.
Reduce oven temperature to 350°F.
Transfer dough to springform pan and spread evenly with a rubber spatula to cover bottom.
Sprinkle half of crumb mixture over dough, leaving a 1-inch border. Gently toss roasted pears with remaining crumb mixture and scatter pears over dough. Let rise, covered with plastic wrap, in a warm draft-free place, 30 minutes.
Bake, uncovered, until firm to the touch and deep golden brown, about 40 minutes. Cool in pan on a rack, 20 minutes, then carefully remove side of pan. Cool to barely warm or room temperature.",pear-kuchen-235774,32.05
3,Honey-Caramel Tart with Apricots and Almonds,"1 1/2 cups all purpose flour, 1/2 cup semolina flour (pasta flour)*, 1/4 teaspoon salt, 1/2 cup (1 stick) unsalted butter, room temperature, 1/3 cup (packed) golden brown sugar, 2 tablespoons honey, 1 teaspoon finely grated lemon peel, 1 large egg, 3/4 cup (packed) golden brown sugar, 1/4 cup sugar, 1/4 cup (1/2 stick) unsalted butter, 1/4 cup honey, 1/2 cup dried cherries, 1/2 cup coarsely chopped dried apricots, 1/2 cup whole almonds, toasted, coarsely chopped, 1/4 cup dried cranberries, 1/4 cup whipping cream, 1 (15-ounce) can apricot halves, drained, patted dry, 1 cup chilled whipping cream, 1 cup crème fraîche, *Available at some supermarkets and at specialty foods stores and Italian markets.","Preheat oven to 350°F. Whisk both flours and salt in medium bowl. Using electric mixer, beat butter, brown sugar, honey, and lemon peel in another medium bowl to blend. Beat in egg. Add flour mixture; beat just to blend. Gather dough into ball. Roll out on floured surface to 1/4-inch-thick round. Transfer to 9-inch-diameter tart pan with removable bottom. Press onto bottom and up sides of pan. Trim edges. Press edges so sides rise 1/4 inch above pan. Bake crust until golden brown, pressing with back of fork if bubbles form, about 13 minutes. Cool on rack.
Preheat oven to 350°F. Bring both sugars, butter, and honey to boil in heavy medium saucepan, stirring to dissolve sugars. Boil 1 minute without stirring; remove from heat. Stir in cherries, apricots, almonds, cranberries, and whipping cream. Transfer filling to cooled crust. Arrange apricot halves, cut side down, atop filling.
Bake tart until bubbling all over, about 1 hour 20 minutes. Cool on rack 15 minutes. Remove pan sides. Cool to lukewarm, about 1 hour.
Using electric mixer, beat cream until peaks form. Add crème fraîche and beat until peaks form. Serve tart slightly warm or at room temperature with crème fraîche.",honey-caramel-tart-with-apricots-and-almonds-237924,17.61
4,Chicken-Fried Skirt Steak with Country Gravy,"1 cup beef broth, divided, 1/2 cup all purpose flour, 4 4- to 5-inch-long pieces skirt steak, 2 tablespoons (1/4 stick) butter, 1 fully cooked breakfast pork-sausage patty (about 1 ounce), finely chopped, 1/2 cup whipping cream, 1/2 teaspoon dried sage, Pinch of ground cloves, 1/3 cup chopped green onion tops","Pour 1/2 cup broth into shallow bowl. Place flour in another shallow bowl. Sprinkle steak pieces on both sides with salt and pepper. Dip steaks into flour, then into broth, then into flour again, coating each time.
Melt butter in large nonstick skillet over high heat. Add steaks. Sauté until brown, about 3 minutes per side. Transfer to plate.
Pour off butter from skillet. Add 1 teaspoon flour from shallow bowl. Whisk in remaining 1/2 cup broth, sausage, cream, sage, and cloves. Boil gravy until thick enough to coat spoon, whisking often, about 3 minutes; season with salt and pepper. Mix in green onion tops. Spoon gravy over steaks.",chicken-fried-skirt-steak-with-country-gravy-242108,22.18
5,Torta Mimosa,"1 recipe Italian Sponge Cake , made as 2 (9-inch cakes), Sugar, 4 tablespoons, Sweet citrus liqueur, such as Cointreau or limoncello, 4 tablespoons, 1 recipe Pastry Cream, chilled until very cold, at least 4 hours","Prepare the cake: Cool the cakes to room temperature.
Trim the crusts on one of the cakes so there are no dark parts showing. Carefully slice the cake in half horizontally so you have two layers. Set them aside. Trim the top and side crusts of the second cake, leaving the bottom dark. Carefully slice the cake in half horizontally. Set aside the bottom layer. Slice the remaining layer into 1/4-inch-wide (6-millimeter-wide) strips, then cut the strips into cubes. Set the cubes aside.
Assemble the cake: Put the sugar and 1/2 cup (4 fluid ounces/120 milliliters) water in a small saucepan and bring to a boil. Remove from the heat and stir in the liqueur. Let cool to room temperature.
Put the bottom cake layer on a serving plate. Moisten with one third of the liqueur syrup, then spread with a little less than one third of the pastry cream. Repeat with the next two layers, then spread the remaining pastry cream on the sides of the cake. Press the cake cubes onto the top and sides of the cake. Loosely cover with plastic wrap and refrigerate until set, about 2 hours. Serve cold. Leftovers can be refrigerated for up to 5 days or frozen for at least 6 weeks.",torta-mimosa-51227210,27.3
6,Instant Pot Lamb Haleem,"¾ cup assorted dals (such as chana dal, moong dal, masoor dal, and/or urad dal), ¼ cup white jasmine rice or other long-grain rice, ¼ cup pearl barley, 1½ lb. bone-in lamb stew meat, 3 tsp. kosher salt, divided, plus more, 1 6"" piece fresh ginger, 3 medium shallots, thinly sliced, ⅓ cup ghee or vegetable oil, 4 garlic cloves, finely grated, 2 Tbsp. plus 1½ tsp. garam masala, 1 tsp. (or more) cayenne pepper, 1 tsp. ground turmeric, 3 green Thai chiles, stems removed (optional), ½ cup (lightly packed) chopped cilantro, plus more for serving, ½ white onion, finely chopped, 2 limes, cut into wedges","Combine dals, rice, and barley in a medium bowl. Pour in water to cover and swish dals and grains around with your fingers. Drain and repeat process until water runs clear enough to see your hands through. Pour in water to cover and let dals and grains soak at room temperature at least 2 hours, or cover and chill up to 12 hours.
Place lamb on a plate, pat dry with paper towels, and season all over with 2 tsp. salt; set aside. Peel ginger by scraping off skin with a spoon. Finely grate half of ginger; set aside. Thinly slice remaining ginger. Stack slices and cut crosswise into matchsticks; set aside.
If using an electric pressure cooker, combine shallots and ghee in pot and set to sauté function or high. Cook, stirring often and adjusting heat as needed if your cooker has that option, until shallots are just beginning to brown, about 8 minutes (or about 6 minutes if cooking in oil). Reduce to normal function or medium if possible, or, if your cooker doesn’t have a lower setting, turn off for a minute if mixture is getting too hot. Add reserved ginger matchsticks and cook, stirring often, until shallots are brown and crisp and ginger is frizzled, 4–10 minutes, depending on your cooker. Using a slotted spoon, transfer shallots and ginger to a plate, spreading out into a single layer. Season lightly with salt; let cool.
Add garlic, garam masala, cayenne, turmeric, and reserved grated ginger, and cook, stirring constantly, until fragrant, about 30 seconds. Add lamb and stir to coat in spices. Cook, stirring often with a wooden spoon and repeatedly adding splashes of water as spices begin to stick to bottom of pot and scraping up browned bits, until flavors come together, about 15 minutes.(Bhuna, the process of repeated sticking and scraping, is a Southeast Asian cooking technique that brings out the flavor of the spices and ensures they don’t taste raw and grainy.)
Drain dal mixture and add to pot along with 1 tsp. salt and 5 cups water. Secure lid and bring to full pressure according to manufacturer’s directions. Cook 1½ hours. Let sit 20 minutes, then manually release pressure and open up.
Taste haleem and add more salt and cayenne if needed. Add chiles if using. (These are for flavor, not heat; feel free to leave them out.) Simmer on normal function or medium, stirring often, 5 minutes. Stir in ½ cup cilantro.
Serve haleem with white onion, lime wedges, reserved crispy shallots and ginger, and more chopped cilantro.
If using a medium Dutch oven or stovetop pressure cooker, cook shallots and ghee over high heat, stirring often, until shallots are just beginning to brown, about 8 minutes (or about 6 minutes if cooking in oil). Add reserved ginger matchsticks and cook, stirring often, until shallots are brown and crisp and ginger is frizzled, 5–8 minutes. Using a slotted spoon, transfer shallots and ginger to a plate, spreading out in a single layer. Season lightly with salt; let cool.
Reduce heat to medium, add garlic, garam masala, cayenne, turmeric, and reserved grated ginger, and cook, stirring constantly, until fragrant, about 30 seconds. Add lamb and stir to coat in spices. Cook, stirring often with a wooden spoon and repeatedly adding splashes of water as spices begin to stick to bottom of pot and scraping up browned bits, until flavors come together, about 15 minutes. (Bhuna, the process of repeated sticking and scraping, is a Southeast Asian cooking technique that brings out the flavor of the spices and ensures they don’t taste raw and grainy.)
Drain dal mixture and add to pot along with 1 tsp. salt and 6½ cups water (if using a Dutch oven) or 5 cups water (for pressure cooker). Increase heat to high and bring to a boil, then reduce heat to the low, cover pot, and cook, stirring and scraping bottom of pot every 15–20 minutes, until meat is falling off the bone and dals and grains have nearly melted into the stew, 4½–5 hours. (If using a stovetop cooker, increase heat to high and bring to a boil. Secure lid and bring to full pressure according to manufacturer’s directions. Cook 1½ hours. Let sit 20 minutes, then manually release pressure and open up.)
Taste haleem and add more salt and cayenne if needed. Add chiles if using. (These are for flavor, not heat; feel free to leave them out.) Simmer over medium heat, stirring often, 5 minutes. Stir in ½ cup cilantro.
Serve haleem with white onion, lime wedges, reserved crispy shallots and ginger, and more chopped cilantro.
Do ahead: Haleem can be made 1 day ahead. Let cool; cover and chill. Reheat over medium until warmed through.",instant-pot-lamb-haleem,10.77
7,Carrot Cupcakes with Orange Icing,"4 medium carrots, 1 1/2 cups all-purpose flour, 1 1/2 teaspoons baking powder, 1/2 teaspoon baking soda, 3/4 teaspoon salt, 1 teaspoon ground cinnamon, 1/2 teaspoon ground ginger, 1/4 teaspoon grated nutmeg, 3/4 cup vegetable oil, 3 large eggs, 1 cup packed light brown sugar, 1 teaspoon pure vanilla extract, 1 1/4 cups confectioners sugar, 1/2 teaspoon grated orange zest, 2 to 3 tablespoons fresh orange juice, Equipment: a muffin pan with 12 (1/2-cup) muffin cups; 12 paper liners, 12 paper liners, Garnish: candied carrot curls","Preheat oven to 350°F with rack in middle. Line muffin cups with paper liners.
Coarsely grate enough carrots to measure 2 cups using large teardrop holes of a box grater.
Whisk together flour, baking powder, baking soda, salt, cinnamon, ginger, and nutmeg in a bowl.
Whisk together oil, eggs, brown sugar, grated carrots, and vanilla in a large bowl, then stir in flour mixture until just combined.
Divide batter among muffin cups and bake until golden and a wooden pick inserted into center of a cupcake comes out clean, 20 to 25 minutes.
Cool in pan on a rack 10 minutes. Remove cupcakes from pan and cool completely on rack, about 1 hour more.
Sift confectioners sugar into a bowl. Whisk in zest and 2 tablespoons juice until smooth. If icing is too thick, add more juice, 1 teaspoon at a time. Dip top of each cupcake into icing, letting excess drip off. Put a carrot curl on top of each and let icing set, about 15 minutes.",carrot-cupcakes-with-orange-icing-240966,8.55
8,Grilled Swordfish with Tomatoes and Oregano,"1/2 cup plus 2 Tbsp. extra-virgin olive oil, plus more for grill, 2 Tbsp. pine nuts, 2 (12-oz.) swordfish steaks, about 1"" thick, Kosher salt, freshly ground pepper, 1/4 cup red wine vinegar, 2 Tbsp. drained capers, finely chopped, 1 Tbsp. finely chopped oregano, plus 2 sprigs for serving, 1/2 tsp. honey, 2 large ripe heirloom tomatoes, halved, thickly sliced","Prepare a grill for medium-high heat; lightly oil grate. Toast pine nuts in a dry small skillet over medium heat, shaking often, until golden, about 4 minutes. Let cool and set aside for serving.
Pat swordfish dry and season all over with salt and pepper. Place on a rimmed baking sheet and let sit at room temperature 15 minutes.
Meanwhile, whisk vinegar, capers, chopped oregano, honey, and 1/2 cup oil in a small bowl to combine; set marinade aside. Arrange tomatoes on a rimmed platter, overlapping slightly; set aside.
Rub swordfish all over with remaining 2 Tbsp. oil and grill, undisturbed, until grill marks appear, about 4 minutes. Carefully turn over and cook on second side until fish is opaque all the way through, about 4 minutes. Transfer to reserved platter with tomatoes and top with oregano sprigs. Season with more salt and pepper. Pour reserved marinade over and let sit at least 15 minutes and up to 1 hour. To serve, scatter reserved pine nuts over.",grilled-swordfish-with-tomatoes-and-oregano,2.68
9,"Fresh Corn Sauté with Tomatoes, Squash, and Fried Okra","1/2 cup yellow cornmeal, 1/4 teaspoon (or more) cayenne pepper, 12 okra pods, cut crosswise into 1/2-inch pieces, 6 tablespoons olive oil, divided, 2 cups fresh corn kernels (cut from about 3 ears of corn), 6 baby green pattypan squash, each cut into 6 pieces, 2 garlic cloves, chopped, 1 12-ounce bag cherry tomatoes, halved (2 cups), 2 tablespoons chopped fresh cilantro, 2 green onions, chopped","Mix cornmeal and 1/4 teaspoon cayenne in small bowl. Add okra and toss lightly to coat. Pour okra into sieve and shake off excess cornmeal.
Heat 4 tablespoons oil in heavy large skillet over medium heat. Add okra and sauté until coating is golden brown, stirring occasionally, about 6 minutes. Using slotted spoon, transfer okra to paper towels to drain; sprinkle with salt and pepper. Wipe out skillet. Heat remaining 2 tablespoons oil in same skillet over medium heat. Add corn, squash, and garlic; sauté 2 minutes. Add tomatoes; cover and cook until squash is crisp-tender, about 5 minutes. Mix in okra, cilantro, and green onions. Remove from heat. Season to taste with salt, pepper, and more cayenne, if desired.",fresh-corn-saute-with-tomatoes-squash-and-fried-okra-235161,20.39
